Year,Month,Hour,Aggregate load
2012,11,1,4.584362201511327
2012,11,2,4.159185836950243
2012,11,3,3.973505859467744
2012,11,4,3.8759451891119907
2012,11,5,4.173188456795423
2012,11,6,5.012609966386181
2012,11,7,5.921340260811619
2012,11,8,6.268824778955425
2012,11,9,6.2830872024608215
2012,11,10,6.255091744146951
2012,11,11,6.240616057588136
2012,11,12,6.27114800505138
2012,11,13,6.227318073075941
2012,11,14,6.192023487050646
2012,11,15,6.366407775086978
2012,11,16,6.843068962545414
2012,11,17,7.602002212036974
2012,11,18,8.190918795052825
2012,11,19,8.498211495095155
2012,11,20,8.600475521738066
2012,11,21,8.33513150677766
2012,11,22,7.531560427421969
2012,11,23,6.340082588087585
2012,12,0,5.777690398623827
2012,12,1,5.049096048539017
2012,12,2,4.6101508442284125
2012,12,3,4.4331426338543904
2012,12,4,4.324327558952924
2012,12,5,4.687439231638908
2012,12,6,5.612577728516955
2012,12,7,6.574198270461872
2012,12,8,6.92496407152003
2012,12,9,6.8962041427578615
2012,12,10,6.840683438377234
2012,12,11,6.83663794939159
2012,12,12,6.849626343163051
2012,12,13,6.740644332161683
2012,12,14,6.701435619669406
2012,12,15,6.921754224231312
2012,12,16,7.427438391628084
2012,12,17,8.225449324393063
2012,12,18,8.888624684882034
2012,12,19,9.221590782595086
2012,12,20,9.333258228538988
2012,12,21,8.97125446975048
2012,12,22,8.068268842291692
2012,12,23,6.835854097967485
